OBJECTID,Shape__Area,Shape__Length,Name,Category,Cost,Description,Location,Manager,Email,Phase,Status,Contact,Completion
2,92286.64844,6481.139231,Riverfront/Orleans BRT Streetscape Improvements,Pedestrian and Bike,"$2,057,000","This project will provide streetscape improvements around the East Riverfront and Orleans BRT Stations, a project area bound by Virginia Capital Trail to the west, Carlisle Avenue to the east, Broad Street to the north, and Hatcher Street to the south. The Complete Streets Process will be used to add streetscape improvements including a combo of new sidewalks, sidewalk widening for a consistent sidewalk width, ADA-compliant curb ramps, crosswalks, and pedestrian scale lighting.","E Main Street @ Nicholson Street to E Main @ Orleans Street to Williamsburg Avenue to Williamsburg Road to Hatcher Street to Goddin Street, Fulton Street, Admiral Gravely Boulevard",Winston Phillips,Winston.Phillips@rva.gov,Planning/Design,Project is in the 60% design phase.  Also working on devlopment of environmental documents.,804-646-5994,Fall 2031
3,330474.6445,4921.895146,Scott's Addition BRT Streetscape Improvements,Pedestrian and Bike,"$1,612,000","Streetscape improvements, including new sidewalks, crosswalks, push buttons, ramps, and pedestrian scale lighting.","Hamilton Street to the west, N. Arthur Ashe Boulevard to the east, Patton Avenue to the north, and Stuart Avenue to the south. ",Adel Edward,Adel.Edward@rva.gov,Planning/Design,60% design plans have been completed for this project.,804-646-6584,Fall 2027
6,291618.3359,7154.707482,Shockoe Bottom BRT Streetscape Improvements,Pedestrian and Bike,"$4,900,000","Pedestrian safety/accessibility improvements to the Shockoe Bottom BRT stations, including new lighting, sidewalk construction, curb ramps and crosswalks.","17th Street to the west, 30th Street to the east, M Street to the north, and the Virginia Capital Trail to the south.",Jerry Allen,Jerry.Allen@rva.gov,Planning/Design,N/A,804-646-7276,TBD
9,436233.6953,2645.651138,Maymont Neighborhood Sidewalks - Phase II,Pedestrian and Bike,"$800,000",Repair and addition of sidewalks along various streets in the Maymont neighborhood.,"Colorado Avenue, Dakota Avenue, Nevada Avenue, New York Avenue, Pennsylvania Avenue, S. Meadow Street",Olayinka Bruce,Olayinka.Bruce@rva.gov,Completed,Trying to closeout/pay last invoice to contractor,804-646-2312,N/A
14,245915.6406,2284.381208,McGuire & Chapel Drive Drainage Improvements,Stormwater,"$23,900,000","Replacement of existing undersized piping, new stormwater pipe systems, valley gutter / curb & gutter, stormwater inlets, and drainage channel restoration throughout the McGuire and Chapel Drive and Hopkins Road neighborhoods.","McGuire Dr, Chapel Dr, Hopkins Rd",William Boston,William.Boston2@rva.gov,Planning/Design,N/A,804-646-8161,Winter 2025
24,3409.855469,495.2418419,Capital Trail - Canal Walk Connector to Brown's Island,Pedestrian and Bike," $550,000 ","Construction of an ADA-accessible ramp from the southside of the Canal Walk to street grade at Virginia Street and E. Byrd Street, as well as bike and pedestrian improvements.","E Byrd Street, Virginia Street",Adel Edward,Adel.Edward@rva.gov,Completed,N/A,804-646-6584,Spring 2025
25,4939.695313,872.6010727,Chimborazo Drop Shaft and Interceptor Sewer Replacement,Stormwater,"$8,944,513",Improvement of existing sewers and addition of new sewers.,Intersection of E Grace & N 32nd Streets to south end of Chimborazo Park,Rhonda Johnson,Rhonda.Johnson@rva.gov,Planning/Design,N/A,804-646-5463,TBD
26,214351.0938,8000.84139,Commerce Road Improvement Project,Road Improvements,"$24,963,523","Provide a center raised median with trees, left turn lanes, curb and gutter, improve both connector roads under I-95, replace the bridge over Goode’s Creek, construct a five foot sidewalk on the west side only, create streetlights, improve the Commerce/Bellmeade intersection, and provide landscaping along both sides of the road.",Commerce Road from Bellemeade Road to Bells Road,Thomas Westbrook,Thomas.Westbrook@rva.gov,Construction,Vehicle bridge should be completed this month.,804-646-3421,Spring 2026
27,70659.17578,3403.204274,Hey Road Improvements,Road Improvements,"$18,865,391","Improvements to Hey Road, including construction of wider travel lanes, curb and gutter, sidewalk, utility relocations, and a closed drainage system.",Hey Road between Hull Street and Walmsley Boulevard,Winston Phillips,Winston.Phillips@rva.gov,Planning/Design,Project is under design; design is 60% complete. Right-of-way acquisition phase expected to begin in Summer 2026.,804-646-5994,2031
29,93128.16406,4687.649112,Hull Street Improvements Phase I: Hey Road to Warwick Road,Road Improvements,"$37,500,000","Road improvements including a raised median, turn lanes, curbs, gutters, bike lanes, a new sidewalk/shared use path on the north side of Hull Street and new sidewalks on the south side of Hull Street, street lighting and an underground drainage system.",Hull Street Road from Hey Road to Warwick Road,Adel Edward,Adel.Edward@rva.gov,Construction,Currently under construction; expected to be complete by Summer 2027.,804-646-6584,Summer 2027
